Time (s),X_pos (m),Y_pos (m),Z_pos (m),Phi_rot (rad),Theta_rot (rad),Psi_rot (rad)
0.0,1.0,1.0,3.5,0.0,0.0,0.0
0.05,1.0001,1.0001,3.4958,-0.2019,0.1969,-0.0154
0.1,1.0433,1.0438,3.5675,-0.7887,0.6304,-0.2592
0.15,1.1341,1.135,3.6772,-0.6455,0.5796,-0.1901
0.2,1.2123,1.2134,3.7531,-0.2343,0.2811,-0.0186
0.25,1.3118,1.3127,3.8322,-0.0826,0.1177,0.0318
0.3,1.4119,1.4125,3.892,-0.1343,0.1491,0.0553
0.35,1.5126,1.5129,3.9323,0.068,-0.0953,0.0971
0.4,1.6099,1.6102,3.9743,0.0302,-0.0716,0.1477
0.45,1.7048,1.7058,4.0274,-0.1685,0.2129,0.1818
0.5,1.8027,1.8051,4.0761,-0.054,0.1821,0.2349
0.55,1.9018,1.9052,4.1076,0.0514,0.0684,0.2761
0.6,2.0016,2.0048,4.1272,0.0053,-0.0028,0.3051
0.65,2.1015,2.1042,4.1454,-0.0257,0.0106,0.3202
0.7,2.2014,2.2042,4.1613,0.0033,-0.0004,0.3147
0.75,2.3013,2.3042,4.1822,0.0099,-0.0017,0.2915
0.8,2.4013,2.4037,4.2285,-0.0265,-0.0053,0.2779
0.85,2.5013,2.5032,4.2851,-0.0538,-0.0033,0.279
0.9,2.6011,2.6031,4.3263,-0.0031,0.0127,0.2737
0.95,2.701,2.703,4.3559,0.0022,0.0027,0.2565
1.0,2.801,2.8029,4.3837,0.0082,-0.0152,0.2287
1.05,2.9007,2.9026,4.4127,-0.0082,0.0085,0.1969
1.1,3.0006,3.0025,4.4417,-0.0044,0.0051,0.1654
1.15,3.1005,3.1025,4.4761,0.0014,-0.0031,0.1364
1.2,3.2004,3.2024,4.5168,-0.0016,0.0059,0.1108
1.25,3.3004,3.3024,4.5628,0.0079,-0.0094,0.0892
1.3,3.4002,3.4022,4.611,-0.0036,0.0062,0.0716
1.35,3.5001,3.5021,4.6592,-0.0045,0.002,0.0571
1.4,3.6,3.6021,4.7105,0.0132,-0.0105,0.0459
1.45,3.6998,3.7019,4.7552,-0.0051,0.0084,0.0375
1.5,3.7997,3.8017,4.7858,-0.0137,0.0126,0.0308
1.55,3.8997,3.9017,4.7998,-0.0022,0.0026,0.0259
1.6,3.9997,4.0017,4.8028,0.0054,-0.0042,0.0224
1.65,4.0996,4.1016,4.7994,0.029,-0.0219,0.0196
1.7,4.1992,4.2011,4.7856,0.062,-0.0544,0.0167
1.75,4.2985,4.3002,4.7554,0.098,-0.0953,0.0123
1.8,4.3977,4.3992,4.7009,0.1349,-0.1358,0.0069
1.85,4.4954,4.4966,4.6325,0.1696,-0.1721,0.0013
1.9,4.5891,4.5901,4.5624,0.1966,-0.1997,-0.0036
1.95,4.6775,4.6782,4.4939,0.2145,-0.2175,-0.007
2.0,4.76,4.7605,4.4277,0.2239,-0.2268,-0.0087
2.05,4.8506,4.851,4.3515,0.2259,-0.2288,-0.0089
2.1,4.9193,4.9195,4.2904,0.2218,-0.2247,-0.0081
2.15,4.9819,4.9819,4.2313,0.2139,-0.2169,-0.0067
2.2,5.0386,5.0386,4.1739,0.2034,-0.2064,-0.0051
2.25,5.0899,5.0898,4.118,0.1912,-0.1942,-0.0034
2.3,5.1361,5.1359,4.0635,0.1782,-0.1809,-0.002
2.35,5.1775,5.1773,4.0103,0.1647,-0.1673,-0.0007
2.4,5.2146,5.2144,3.9583,0.1513,-0.1536,0.0003
2.45,5.2477,5.2475,3.9073,0.1382,-0.1402,0.001
2.5,5.2772,5.277,3.8574,0.1257,-0.1274,0.0015
2.55,5.3035,5.3032,3.8086,0.1138,-0.1152,0.0018
2.6,5.3268,5.3265,3.7608,0.1026,-0.1037,0.0019
2.65,5.3474,5.3472,3.7139,0.0922,-0.0931,0.002
2.7,5.3657,5.3655,3.668,0.0826,-0.0833,0.0019
2.75,5.3818,5.3816,3.6231,0.0738,-0.0743,0.0018
2.8,5.3961,5.3959,3.5791,0.0658,-0.0662,0.0016
2.85,5.4086,5.4085,3.5361,0.0585,-0.0588,0.0014
2.9,5.4197,5.4195,3.4939,0.052,-0.0521,0.0013
2.95,5.4294,5.4293,3.4527,0.046,-0.0461,0.0011
3.0,5.438,5.4379,3.4124,0.0407,-0.0408,0.0009
3.05,5.4455,5.4454,3.3729,0.036,-0.036,0.0008
3.1,5.4521,5.452,3.3343,0.0317,-0.0317,0.0007
3.15,5.4579,5.4579,3.2965,0.0279,-0.0279,0.0005
3.2,5.463,5.463,3.2595,0.0246,-0.0246,0.0004
3.25,5.4675,5.4675,3.2234,0.0216,-0.0216,0.0004
3.3,5.4714,5.4714,3.1881,0.019,-0.019,0.0003
3.35,5.4749,5.4748,3.1535,0.0167,-0.0167,0.0002
3.4,5.4779,5.4779,3.1197,0.0147,-0.0146,0.0002
3.45,5.4806,5.4805,3.0866,0.0129,-0.0128,0.0001
3.5,5.4829,5.4829,3.0543,0.0113,-0.0113,0.0001
3.55,5.4849,5.4849,3.0226,0.0099,-0.0099,0.0001
3.6,5.4867,5.4867,2.9917,0.0087,-0.0087,0.0001
3.65,5.4883,5.4883,2.9614,0.0076,-0.0076,0.0
3.7,5.4897,5.4897,2.9319,0.0067,-0.0067,0.0
3.75,5.4909,5.4909,2.9029,0.0059,-0.0058,0.0
3.8,5.492,5.492,2.8746,0.0051,-0.0051,0.0
3.85,5.4929,5.4929,2.847,0.0045,-0.0045,0.0
3.9,5.4938,5.4938,2.8199,0.004,-0.004,0.0
3.95,5.4945,5.4945,2.7934,0.0035,-0.0035,0.0
4.0,5.4951,5.4951,2.7676,0.0031,-0.003,0.0
4.05,5.4957,5.4957,2.7422,0.0027,-0.0027,0.0
4.1,5.4962,5.4962,2.7175,0.0024,-0.0024,0.0
4.15,5.4966,5.4966,2.6933,0.0021,-0.0021,0.0
4.2,5.497,5.497,2.6696,0.0018,-0.0018,0.0
4.25,5.4974,5.4974,2.6465,0.0016,-0.0016,0.0
4.3,5.4977,5.4977,2.6238,0.0014,-0.0014,0.0
4.35,5.4979,5.4979,2.6017,0.0012,-0.0012,0.0
4.4,5.4982,5.4982,2.5801,0.0011,-0.0011,0.0
