Time (s),X_pos (m),Y_pos (m),Z_pos (m),Phi_rot (rad),Theta_rot (rad),Psi_rot (rad)
0.0,2.5,2.5,1.5,0.0,0.0,0.0
0.05,2.5001,2.5001,1.4959,-0.2077,0.203,-0.0164
0.1,2.5376,2.5382,1.551,-0.827,0.6458,-0.2752
0.15,2.6247,2.6263,1.6396,-0.8012,0.634,-0.2425
0.2,2.7056,2.7084,1.7018,-0.4315,0.3843,-0.0327
0.25,2.8067,2.811,1.7574,-0.0741,0.0141,0.0723
0.3,2.9076,2.9135,1.7909,0.2302,-0.3067,0.0565
0.35,3.0062,3.0138,1.8075,0.3298,-0.2984,0.0779
0.4,3.1029,3.1118,1.8057,0.3173,-0.0625,0.173
0.45,3.2002,3.204,1.7964,0.3769,0.005,0.203
0.5,3.2996,3.285,1.7913,0.4151,-0.0563,0.1668
0.55,3.3996,3.3551,1.7867,0.4308,-0.0672,0.1417
0.6,3.4996,3.4127,1.7842,0.4169,-0.0562,0.1223
0.65,3.5995,3.4562,1.7895,0.3602,-0.0389,0.1043
0.7,3.6994,3.4875,1.8025,0.2497,-0.0191,0.0884
0.75,3.7994,3.5115,1.8191,0.1094,-0.0142,0.0698
0.8,3.8993,3.5333,1.8281,-0.0597,0.0111,0.0545
0.85,3.9993,3.5557,1.821,-0.2483,0.0142,0.041
0.9,4.0993,3.5804,1.7988,-0.414,0.0079,0.0299
0.95,4.1992,3.6189,1.7809,-0.5263,0.0106,0.0174
1.0,4.2992,3.6912,1.7981,-0.4761,0.008,0.0104
1.05,4.3992,3.7878,1.8358,-0.3043,-0.0046,0.0095
1.1,4.4991,3.8878,1.858,-0.1241,-0.0312,0.0111
1.15,4.5988,3.9883,1.8639,0.1151,-0.0623,0.0072
1.2,4.6973,4.0868,1.8634,0.111,-0.0882,-0.0019
1.25,4.7941,4.1834,1.8579,-0.0491,-0.1058,-0.0062
1.3,4.8881,4.2811,1.8536,-0.0513,-0.1273,-0.0072
1.35,4.9785,4.3802,1.8539,-0.027,-0.1516,-0.0071
1.4,5.0651,4.48,1.854,-0.0076,-0.1731,-0.007
1.45,5.1475,4.5801,1.8538,0.0139,-0.19,-0.0067
1.5,5.2252,4.6797,1.8537,0.057,-0.2001,-0.0068
1.55,5.298,4.7781,1.853,0.0929,-0.2058,-0.0069
1.6,5.3659,4.8742,1.8513,0.1248,-0.2082,-0.007
1.65,5.4287,4.9673,1.8493,0.1563,-0.2058,-0.0068
1.7,5.4863,5.0564,1.8474,0.1817,-0.1999,-0.0061
1.75,5.5389,5.1409,1.846,0.2002,-0.1911,-0.0051
1.8,5.5865,5.2203,1.8451,0.2115,-0.1805,-0.0038
1.85,5.6296,5.2942,1.8448,0.2164,-0.1685,-0.0024
1.9,5.6684,5.3626,1.845,0.2158,-0.1559,-0.001
1.95,5.7033,5.4254,1.8456,0.2108,-0.1432,0.0003
2.0,5.7345,5.4829,1.8465,0.2026,-0.1307,0.0013
2.05,5.7678,5.5452,1.8479,0.1898,-0.1163,0.0022
2.1,5.7924,5.5917,1.8493,0.1777,-0.1051,0.0027
2.15,5.8144,5.6339,1.8507,0.165,-0.0947,0.003
2.2,5.834,5.6719,1.8521,0.1521,-0.085,0.0031
2.25,5.8516,5.7061,1.8535,0.1393,-0.0762,0.003
2.3,5.8673,5.7369,1.855,0.127,-0.0682,0.0029
2.35,5.8813,5.7646,1.8564,0.1154,-0.061,0.0027
2.4,5.8939,5.7894,1.8578,0.1044,-0.0545,0.0024
2.45,5.9051,5.8116,1.8592,0.0942,-0.0487,0.0021
2.5,5.9151,5.8315,1.8606,0.0848,-0.0435,0.0019
2.55,5.9241,5.8493,1.8619,0.0762,-0.0388,0.0016
2.6,5.9321,5.8652,1.8632,0.0684,-0.0347,0.0014
2.65,5.9392,5.8794,1.8644,0.0613,-0.031,0.0012
2.7,5.9456,5.8922,1.8657,0.0549,-0.0277,0.001
2.75,5.9514,5.9036,1.8669,0.0491,-0.0247,0.0008
2.8,5.9565,5.9138,1.8681,0.0439,-0.0221,0.0007
2.85,5.9611,5.9229,1.8692,0.0393,-0.0197,0.0005
2.9,5.9652,5.931,1.8704,0.0351,-0.0176,0.0004
2.95,5.9688,5.9383,1.8715,0.0314,-0.0158,0.0003
3.0,5.9721,5.9448,1.8726,0.0281,-0.0141,0.0003
3.05,5.975,5.9506,1.8736,0.0251,-0.0126,0.0002
3.1,5.9777,5.9558,1.8747,0.0224,-0.0113,0.0002
3.15,5.98,5.9605,1.8757,0.02,-0.0101,0.0001
3.2,5.9821,5.9647,1.8767,0.0179,-0.009,0.0001
3.25,5.984,5.9684,1.8776,0.016,-0.0081,0.0001
3.3,5.9857,5.9717,1.8786,0.0143,-0.0072,0.0001
3.35,5.9872,5.9747,1.8795,0.0128,-0.0065,0.0001
3.4,5.9885,5.9774,1.8804,0.0115,-0.0058,0.0
3.45,5.9897,5.9797,1.8813,0.0102,-0.0052,0.0
3.5,5.9908,5.9819,1.8822,0.0092,-0.0046,0.0
3.55,5.9918,5.9838,1.883,0.0082,-0.0041,0.0
3.6,5.9927,5.9855,1.8839,0.0073,-0.0037,0.0
3.65,5.9934,5.987,1.8847,0.0066,-0.0033,0.0
3.7,5.9941,5.9884,1.8855,0.0059,-0.003,0.0
3.75,5.9947,5.9896,1.8862,0.0052,-0.0027,0.0
3.8,5.9953,5.9907,1.887,0.0047,-0.0024,0.0
3.85,5.9958,5.9917,1.8877,0.0042,-0.0021,0.0
3.9,5.9962,5.9926,1.8885,0.0038,-0.0019,0.0
3.95,5.9966,5.9933,1.8892,0.0034,-0.0017,0.0
4.0,5.997,5.994,1.8899,0.003,-0.0015,0.0
4.05,5.9973,5.9947,1.8906,0.0027,-0.0014,0.0
4.1,5.9976,5.9952,1.8912,0.0024,-0.0012,0.0
4.15,5.9978,5.9957,1.8919,0.0022,-0.0011,0.0
4.2,5.9981,5.9962,1.8925,0.0019,-0.001,0.0
4.25,5.9983,5.9966,1.8931,0.0017,-0.0009,0.0
4.3,5.9985,5.9969,1.8937,0.0015,-0.0008,0.0
4.35,5.9986,5.9973,1.8943,0.0014,-0.0007,0.0
4.4,5.9988,5.9976,1.8949,0.0012,-0.0006,0.0
4.45,5.9989,5.9978,1.8955,0.0011,-0.0006,0.0
4.5,5.999,5.998,1.896,0.001,-0.0005,0.0
4.55,5.9991,5.9983,1.8966,0.0009,-0.0004,0.0
4.6,5.9992,5.9984,1.8971,0.0008,-0.0004,0.0
4.65,5.9993,5.9986,1.8976,0.0007,-0.0004,0.0
4.7,5.9994,5.9987,1.8981,0.0006,-0.0003,0.0
4.75,5.9994,5.9989,1.8986,0.0006,-0.0003,0.0
4.8,5.9995,5.999,1.8991,0.0005,-0.0003,0.0
4.85,5.9995,5.9991,1.8996,0.0005,-0.0002,0.0
4.9,5.9996,5.9992,1.9001,0.0004,-0.0002,0.0
4.95,5.9996,5.9993,1.9005,0.0004,-0.0002,0.0
5.0,5.9997,5.9994,1.901,0.0003,-0.0002,0.0
5.05,5.9997,5.9994,1.9014,0.0003,-0.0001,0.0
5.1,5.9997,5.9995,1.9018,0.0003,-0.0001,0.0
5.15,5.9998,5.9995,1.9022,0.0002,-0.0001,0.0
5.2,5.9998,5.9996,1.9026,0.0002,-0.0001,0.0
5.25,5.9998,5.9996,1.903,0.0002,-0.0001,0.0
5.3,5.9998,5.9997,1.9034,0.0002,-0.0001,0.0
5.35,5.9999,5.9997,1.9038,0.0001,-0.0001,0.0
5.4,5.9999,5.9997,1.9042,0.0001,-0.0001,0.0
5.45,5.9999,5.9998,1.9045,0.0001,-0.0001,0.0
5.5,5.9999,5.9998,1.9049,0.0001,-0.0001,0.0
5.55,5.9999,5.9998,1.9052,0.0001,-0.0,0.0
5.6,5.9999,5.9998,1.9056,0.0001,-0.0,0.0
5.65,5.9999,5.9998,1.9059,0.0001,-0.0,0.0
5.7,5.9999,5.9999,1.9062,0.0001,-0.0,0.0
5.75,5.9999,5.9999,1.9066,0.0001,-0.0,0.0
5.8,5.9999,5.9999,1.9069,0.0001,-0.0,0.0
5.85,6.0,5.9999,1.9072,0.0,-0.0,0.0
5.9,6.0,5.9999,1.9075,0.0,-0.0,0.0
5.95,6.0,5.9999,1.9078,0.0,-0.0,0.0
6.0,6.0,5.9999,1.908,0.0,-0.0,0.0
6.05,6.0,5.9999,1.9083,0.0,-0.0,0.0
6.1,6.0,5.9999,1.9086,0.0,-0.0,0.0
6.15,6.0,6.0,1.9089,0.0,-0.0,0.0
6.2,6.0,6.0,1.9091,0.0,-0.0,0.0
6.25,6.0,6.0,1.9094,0.0,-0.0,0.0
6.3,6.0,6.0,1.9096,0.0,-0.0,0.0
6.35,6.0,6.0,1.9099,0.0,-0.0,0.0
6.4,6.0,6.0,1.9101,0.0,-0.0,0.0
6.45,6.0,6.0,1.9103,0.0,-0.0,0.0
6.5,6.0,6.0,1.9106,0.0,-0.0,0.0
6.55,6.0,6.0,1.9108,0.0,-0.0,0.0
6.6,6.0,6.0,1.911,0.0,-0.0,0.0
6.65,6.0,6.0,1.9112,0.0,-0.0,0.0
6.7,6.0,6.0,1.9114,0.0,-0.0,0.0
6.75,6.0,6.0,1.9116,0.0,-0.0,0.0
6.8,6.0,6.0,1.9118,0.0,-0.0,0.0
6.85,6.0,6.0,1.912,0.0,-0.0,0.0
6.9,6.0,6.0,1.9122,0.0,-0.0,0.0
6.95,6.0,6.0,1.9124,0.0,-0.0,0.0
7.0,6.0,6.0,1.9126,0.0,-0.0,0.0
7.05,6.0,6.0,1.9128,0.0,-0.0,0.0
7.1,6.0,6.0,1.9129,0.0,-0.0,0.0
7.15,6.0,6.0,1.9131,0.0,-0.0,0.0
7.2,6.0,6.0,1.9133,0.0,-0.0,0.0
7.25,6.0,6.0,1.9134,0.0,-0.0,0.0
7.3,6.0,6.0,1.9136,0.0,-0.0,0.0
7.35,6.0,6.0,1.9137,0.0,-0.0,0.0
7.4,6.0,6.0,1.9139,0.0,-0.0,0.0
