Time (s),X_pos (m),Y_pos (m),Z_pos (m),Phi_rot (rad),Theta_rot (rad),Psi_rot (rad)
0.000,2.5000,2.5000,1.5000,0.0000,0.0000,0.0000
0.050,2.5001,2.5001,1.4959,-0.2077,0.2030,-0.0164
0.100,2.5376,2.5382,1.5510,-0.8270,0.6458,-0.2752
0.150,2.6247,2.6263,1.6396,-0.8012,0.6340,-0.2425
0.200,2.7056,2.7084,1.7018,-0.4315,0.3843,-0.0327
0.250,2.8067,2.8110,1.7574,-0.0741,0.0141,0.0723
0.300,2.9076,2.9135,1.7909,0.2302,-0.3067,0.0565
0.350,3.0062,3.0138,1.8075,0.3298,-0.2984,0.0779
0.400,3.1029,3.1118,1.8057,0.3173,-0.0625,0.1730
0.450,3.2002,3.2040,1.7964,0.3769,0.0050,0.2030
0.500,3.2996,3.2850,1.7913,0.4151,-0.0563,0.1668
0.550,3.3996,3.3551,1.7867,0.4308,-0.0672,0.1417
0.600,3.4996,3.4127,1.7842,0.4169,-0.0562,0.1223
0.650,3.5995,3.4562,1.7895,0.3602,-0.0389,0.1043
0.700,3.6994,3.4875,1.8025,0.2497,-0.0191,0.0884
0.750,3.7994,3.5115,1.8191,0.1094,-0.0142,0.0698
0.800,3.8993,3.5333,1.8281,-0.0597,0.0111,0.0545
0.850,3.9993,3.5557,1.8210,-0.2483,0.0142,0.0410
0.900,4.0993,3.5804,1.7988,-0.4140,0.0079,0.0299
0.950,4.1992,3.6189,1.7809,-0.5263,0.0106,0.0174
1.000,4.2992,3.6912,1.7981,-0.4761,0.0080,0.0104
1.050,4.3992,3.7878,1.8358,-0.3043,-0.0046,0.0095
1.100,4.4991,3.8878,1.8580,-0.1241,-0.0312,0.0111
1.150,4.5988,3.9883,1.8639,0.1151,-0.0623,0.0072
1.200,4.6973,4.0868,1.8634,0.1110,-0.0882,-0.0019
1.250,4.7941,4.1834,1.8579,-0.0491,-0.1058,-0.0062
1.300,4.8881,4.2811,1.8536,-0.0513,-0.1273,-0.0072
1.350,4.9785,4.3802,1.8539,-0.0270,-0.1516,-0.0071
1.400,5.0651,4.4800,1.8540,-0.0076,-0.1731,-0.0070
1.450,5.1475,4.5801,1.8538,0.0139,-0.1900,-0.0067
1.500,5.2252,4.6797,1.8537,0.0570,-0.2001,-0.0068
1.550,5.2980,4.7781,1.8530,0.0929,-0.2058,-0.0069
1.600,5.3659,4.8742,1.8513,0.1248,-0.2082,-0.0070
1.650,5.4287,4.9673,1.8493,0.1563,-0.2058,-0.0068
1.700,5.4863,5.0564,1.8474,0.1817,-0.1999,-0.0061
1.750,5.5389,5.1409,1.8460,0.2002,-0.1911,-0.0051
1.800,5.5865,5.2203,1.8451,0.2115,-0.1805,-0.0038
1.850,5.6296,5.2942,1.8448,0.2164,-0.1685,-0.0024
1.900,5.6684,5.3626,1.8450,0.2158,-0.1559,-0.0010
1.950,5.7033,5.4254,1.8456,0.2108,-0.1432,0.0003
2.000,5.7345,5.4829,1.8465,0.2026,-0.1307,0.0013
2.050,5.7678,5.5452,1.8479,0.1898,-0.1163,0.0022
2.100,5.7924,5.5917,1.8493,0.1777,-0.1051,0.0027
2.150,5.8144,5.6339,1.8507,0.1650,-0.0947,0.0030
2.200,5.8340,5.6719,1.8521,0.1521,-0.0850,0.0031
2.250,5.8516,5.7061,1.8535,0.1393,-0.0762,0.0030
2.300,5.8673,5.7369,1.8550,0.1270,-0.0682,0.0029
2.350,5.8813,5.7646,1.8564,0.1154,-0.0610,0.0027
2.400,5.8939,5.7894,1.8578,0.1044,-0.0545,0.0024
2.450,5.9051,5.8116,1.8592,0.0942,-0.0487,0.0021
2.500,5.9151,5.8315,1.8606,0.0848,-0.0435,0.0019
2.550,5.9241,5.8493,1.8619,0.0762,-0.0388,0.0016
2.600,5.9321,5.8652,1.8632,0.0684,-0.0347,0.0014
2.650,5.9392,5.8794,1.8644,0.0613,-0.0310,0.0012
2.700,5.9456,5.8922,1.8657,0.0549,-0.0277,0.0010
2.750,5.9514,5.9036,1.8669,0.0491,-0.0247,0.0008
2.800,5.9565,5.9138,1.8681,0.0439,-0.0221,0.0007
2.850,5.9611,5.9229,1.8692,0.0393,-0.0197,0.0005
