Time (s),X_pos (m),Y_pos (m),Z_pos (m),Phi_rot (rad),Theta_rot (rad),Psi_rot (rad)
0.000,2.5000,2.5000,0.5000,0.0000,0.0000,0.0000
0.100,2.5051,2.5181,0.6022,-0.7255,0.1911,-0.0558
0.200,2.5414,2.6493,0.7765,-1.2200,0.3196,-0.1866
0.300,2.6050,2.8765,0.9083,-0.7942,0.3780,-0.1474
0.400,2.6719,3.1078,0.9483,0.0877,0.4466,-0.0956
0.500,2.7913,3.2869,1.0125,0.4485,0.3048,-0.1375
0.600,2.9505,3.3959,1.0943,-0.2819,0.1365,-0.1713
0.700,3.1352,3.5583,1.2025,-0.3315,0.0713,-0.1095
0.800,3.3416,3.7781,1.3394,0.0696,-0.0163,-0.0566
0.900,3.5474,3.9944,1.4377,0.0083,0.0044,-0.0221
1.000,3.7531,4.2091,1.5339,0.0343,-0.0145,-0.0029
1.100,3.9577,4.4206,1.6203,0.0544,-0.0136,0.0074
1.200,4.1612,4.6276,1.7011,0.0284,-0.0010,0.0125
1.300,4.3645,4.8311,1.7766,0.1035,-0.0173,0.0145
1.400,4.5662,5.0252,1.8459,0.1628,-0.0340,0.0156
1.500,4.7647,5.2037,1.9114,0.2224,-0.0857,0.0100
1.600,4.9553,5.3610,1.9730,0.2509,-0.1466,0.0009
1.700,5.1319,5.4939,2.0316,0.2465,-0.1955,-0.0060
1.800,5.2892,5.6021,2.0897,0.2173,-0.2201,-0.0074
1.900,5.4248,5.6885,2.1469,0.1823,-0.2202,-0.0050
2.000,5.5390,5.7568,2.2021,0.1483,-0.2049,-0.0021
2.100,5.6418,5.8154,2.2596,0.1163,-0.1789,0.0001
2.200,5.7172,5.8566,2.3084,0.0925,-0.1530,0.0010
2.300,5.7779,5.8889,2.3537,0.0733,-0.1279,0.0011
2.400,5.8265,5.9141,2.3958,0.0579,-0.1051,0.0010
2.500,5.8651,5.9338,2.4349,0.0455,-0.0853,0.0008
2.600,5.8954,5.9490,2.4711,0.0357,-0.0684,0.0005
2.700,5.9192,5.9608,2.5048,0.0279,-0.0544,0.0003
2.800,5.9378,5.9700,2.5361,0.0217,-0.0430,0.0002
2.900,5.9522,5.9770,2.5653,0.0168,-0.0337,0.0001
3.000,5.9633,5.9824,2.5924,0.0130,-0.0263,0.0001
3.100,5.9719,5.9866,2.6177,0.0100,-0.0205,0.0000
3.200,5.9786,5.9898,2.6412,0.0077,-0.0159,0.0000
3.300,5.9837,5.9922,2.6632,0.0059,-0.0122,0.0000
3.400,5.9876,5.9941,2.6836,0.0045,-0.0094,0.0000
3.500,5.9905,5.9955,2.7027,0.0035,-0.0072,0.0000
3.600,5.9928,5.9966,2.7205,0.0027,-0.0055,0.0000
3.700,5.9945,5.9974,2.7371,0.0020,-0.0042,0.0000
3.800,5.9959,5.9980,2.7526,0.0015,-0.0032,0.0000
3.900,5.9969,5.9985,2.7670,0.0012,-0.0025,0.0000
4.000,5.9976,5.9989,2.7805,0.0009,-0.0019,0.0000
4.100,5.9982,5.9992,2.7930,0.0007,-0.0014,0.0000
4.200,5.9986,5.9994,2.8048,0.0005,-0.0011,0.0000
4.300,5.9990,5.9995,2.8157,0.0004,-0.0008,0.0000
4.400,5.9992,5.9996,2.8259,0.0003,-0.0006,0.0000
4.500,5.9994,5.9997,2.8354,0.0002,-0.0005,0.0000
4.600,5.9996,5.9998,2.8442,0.0002,-0.0004,0.0000
4.700,5.9997,5.9998,2.8525,0.0001,-0.0003,0.0000
4.800,5.9997,5.9999,2.8602,0.0001,-0.0002,0.0000
4.900,5.9998,5.9999,2.8674,0.0001,-0.0002,0.0000
5.000,5.9999,5.9999,2.8741,0.0001,-0.0001,0.0000
5.100,5.9999,5.9999,2.8804,0.0000,-0.0001,0.0000
5.200,5.9999,6.0000,2.8862,0.0000,-0.0001,0.0000
5.300,5.9999,6.0000,2.8916,0.0000,-0.0001,0.0000
5.400,6.0000,6.0000,2.8967,0.0000,-0.0000,0.0000
5.500,6.0000,6.0000,2.9014,0.0000,-0.0000,0.0000
5.600,6.0000,6.0000,2.9059,0.0000,-0.0000,0.0000
5.700,6.0000,6.0000,2.9100,0.0000,-0.0000,0.0000
5.800,6.0000,6.0000,2.9138,0.0000,-0.0000,0.0000
5.900,6.0000,6.0000,2.9174,0.0000,-0.0000,0.0000
6.000,6.0000,6.0000,2.9207,0.0000,-0.0000,0.0000
6.100,6.0000,6.0000,2.9239,0.0000,-0.0000,0.0000
6.200,6.0000,6.0000,2.9268,0.0000,-0.0000,0.0000
6.300,6.0000,6.0000,2.9295,0.0000,-0.0000,0.0000
6.400,6.0000,6.0000,2.9320,0.0000,-0.0000,0.0000
6.500,6.0000,6.0000,2.9344,0.0000,-0.0000,0.0000
6.600,6.0000,6.0000,2.9366,0.0000,-0.0000,0.0000
6.700,6.0000,6.0000,2.9386,0.0000,-0.0000,0.0000
6.800,6.0000,6.0000,2.9405,0.0000,-0.0000,0.0000
6.900,6.0000,6.0000,2.9423,0.0000,-0.0000,0.0000
7.000,6.0000,6.0000,2.9440,0.0000,-0.0000,0.0000
7.100,6.0000,6.0000,2.9455,0.0000,-0.0000,0.0000
7.200,6.0000,6.0000,2.9470,0.0000,-0.0000,0.0000
7.300,6.0000,6.0000,2.9483,0.0000,-0.0000,0.0000
7.400,6.0000,6.0000,2.9496,0.0000,-0.0000,0.0000
